Embryo,Stage,mtX,mtY,mtZ
4,10.5,Early_mesenchyme,1.00764332,0.81317587,1.09193498
4,10.5,Myocytes,0.50190593,0.43749155,1.20628982
4,10.5,Endothelial_cells,NA,NA,NA
4,10.5,Intermediate_Mesoderm,1.08560106,1.35588252,1.89001186
4,10.5,Chondrocytes_&_osteoblasts,1.53231640,1.01529414,1.12279927
4,10.5,Epithelial_cells,1.11029761,1.08398499,0.83941604
4,10.5,Endothelial_cells,0.94030704,1.39958762,0.58214848
4,10.5,Intermediate_Mesoderm,1.34476481,1.20639047,1.77950004
4,10.5,Chondroctye_progenitors,1.25948125,0.84072906,0.91011990
4,10.5,Oligodendrocyte_Progenitors,1.51750401,1.46095771,1.65426637
4,10.5,Epithelial_cells,1.25842993,0.05212031,1.21253365
4,10.5,Endothelial_cells,1.65444935,1.38759071,1.09767202
4,10.5,Cholinergic_neurons,0.68182486,0.98724216,0.09614695
4,10.5,Jaw_and_tooth_progenitors,1.43765528,0.91430867,0.99303275
4,10.5,Stromal_cells,NA,NA,NA
4,10.5,Endothelial_cells,0.03310832,1.38254296,1.18113723
4,10.5,Radial_glia,NA,NA,NA
4,10.5,Intermediate_Mesoderm,1.17179292,1.20249072,1.52317852
4,10.5,Epithelial_cells,NA,NA,NA
4,10.5,Early_mesenchyme,0.76934946,0.59932713,1.25870502
4,10.5,NA,NA,NA,NA
4,10.5,Notochord_cells,1.47963305,1.16193858,0.84162792
4,10.5,Inhibitory_interneurons,0.88984901,1.30597904,1.63344458
4,10.5,Chondrocytes_&_osteoblasts,1.47803378,1.01951094,1.23223143
4,10.5,Premature_oligodendrocyte,1.53408127,1.62679767,1.73614842
4,10.5,Neural_Tube,1.70964404,1.12599303,0.98923825
4,10.5,Early_mesenchyme,NA,NA,NA
4,10.5,Intermediate_Mesoderm,1.07329621,1.42373920,1.34693576
4,10.5,Cholinergic_neurons,0.52631766,1.09406457,0.02689977
4,10.5,Jaw_and_tooth_progenitors,1.03384490,0.92150314,1.05287512
4,10.5,Jaw_and_tooth_progenitors,1.07887339,0.88730327,0.88173688
4,10.5,Myocytes,0.64417937,0.47570594,1.23088996
4,10.5,Postmitotic_premature_neurons,0.59840498,0.66171165,0.92475793
4,10.5,Sensory_neurons,1.35520485,0.86010697,1.01473367
4,10.5,Oligodendrocyte_Progenitors,1.58606009,1.34855992,1.36244724
4,10.5,Chondroctye_progenitors,1.18053288,0.81070147,0.82052621
4,10.5,Primitive_erythroid_lineage,2.43059344,1.50339620,1.81048614
4,10.5,Neural_Tube,NA,NA,NA
4,10.5,Neural_Tube,NA,NA,NA
4,10.5,Inhibitory_neuron_progenitors,0.48467328,0.90757941,1.48294548
4,10.5,Early_mesenchyme,1.02284810,0.80172318,1.06834798
4,10.5,Early_mesenchyme,NA,NA,NA
4,10.5,Neural_progenitor_cells,1.38841278,0.60152745,0.72299985
4,10.5,Early_mesenchyme,NA,NA,NA
4,10.5,Neural_Tube,NA,NA,NA
4,10.5,Isthmic_organizer_cells,1.61086098,1.52122702,1.52655329
4,10.5,Primitive_erythroid_lineage,NA,NA,NA
4,10.5,Chondroctye_progenitors,1.20980658,0.77308238,0.82255116
4,10.5,Jaw_and_tooth_progenitors,NA,NA,NA
4,10.5,Primitive_erythroid_lineage,NA,NA,NA
4,10.5,Radial_glia,NA,NA,NA
4,10.5,Stromal_cells,1.00351163,1.03304460,1.35241128
4,10.5,Limb_mesenchyme,0.72206397,1.24467401,1.21280842
4,10.5,Neural_Tube,1.61726502,1.27215238,1.12552267
4,10.5,Isthmic_organizer_cells,1.83376398,1.11836981,0.82285725
4,10.5,Epithelial_cells,NA,NA,NA
4,10.5,Jaw_and_tooth_progenitors,1.01838732,0.83243962,0.99545261
4,10.5,Jaw_and_tooth_progenitors,NA,NA,NA
4,10.5,Radial_glia,NA,NA,NA
4,10.5,Sensory_neurons,1.22893031,0.70382151,1.15713125
4,10.5,Chondrocytes_&_osteoblasts,1.46390612,1.00440540,1.12411962
4,10.5,Jaw_and_tooth_progenitors,1.36358836,0.90517603,0.95248370
4,10.5,Myocytes,0.38956484,0.43124849,1.11709804
4,10.5,Neural_Tube,1.53192386,0.90300282,0.79377575
4,10.5,Sensory_neurons,1.30668756,0.88701636,1.17499336
4,10.5,Postmitotic_premature_neurons,0.48395257,1.31111700,1.13151043
4,10.5,Early_mesenchyme,NA,NA,NA
4,10.5,Definitive_erythroid_lineage,NA,NA,NA
4,10.5,Sensory_neurons,NA,NA,NA
4,10.5,Intermediate_Mesoderm,NA,NA,NA
4,10.5,Jaw_and_tooth_progenitors,1.39562357,0.94633051,1.07010442
4,10.5,Early_mesenchyme,0.91373267,1.26781994,1.19609339
4,10.5,Excitatory_neurons,0.54873241,1.59111581,0.13375961
4,10.5,Neural_progenitor_cells,NA,NA,NA
4,10.5,Jaw_and_tooth_progenitors,1.28581533,0.99178210,1.19055025
4,10.5,Early_mesenchyme,0.90821712,1.21343723,1.28077155
4,10.5,Chondroctye_progenitors,1.18855475,0.75656915,0.83617002
4,10.5,Notochord_cells,1.41614911,0.95939059,0.77272746
4,10.5,Isthmic_organizer_cells,1.82535252,1.12448521,0.73847810
4,10.5,Cholinergic_neurons,0.61034275,1.07352203,0.16333543
4,10.5,Chondrocytes_&_osteoblasts,1.14469125,1.27767124,1.32596148
4,10.5,Neural_Tube,1.63394521,0.76584051,0.53362903
4,10.5,Neural_Tube,1.64757203,0.78187266,0.72999969
4,10.5,Chondroctye_progenitors,1.09591763,0.82209376,0.79002684
